Point_Index,DFCC_Chainage_Meters,DFCC_Chainage_Formatted,Relative_Distance_Meters,UTM_Zone,UTM_Easting,UTM_Northing,Latitude,Longitude
0,1076000.00,CH 1076+000,0.00,43N,739449.673,3320537.056,29.99240105,77.48210929
1,1076010.00,CH 1076+010,10.00,43N,739441.054,3320542.127,29.99244845,77.48202116
2,1076020.00,CH 1076+020,20.00,43N,739432.435,3320547.197,29.99249586,77.48193302
3,1076030.00,CH 1076+030,30.00,43N,739423.816,3320552.268,29.99254326,77.48184488
4,1076040.00,CH 1076+040,40.00,43N,739415.197,3320557.339,29.99259066,77.48175675
5,1076050.00,CH 1076+050,50.00,43N,739406.578,3320562.409,29.99263806,77.48166861
6,1076060.00,CH 1076+060,60.00,43N,739397.959,3320567.480,29.99268546,77.48158047
7,1076070.00,CH 1076+070,70.00,43N,739389.340,3320572.551,29.99273286,77.48149234
8,1076080.00,CH 1076+080,80.00,43N,739380.721,3320577.621,29.99278026,77.48140420
9,1076090.00,CH 1076+090,90.00,43N,739372.101,3320582.692,29.99282766,77.48131606
10,1076100.00,CH 1076+100,100.00,43N,739363.482,3320587.762,29.99287506,77.48122792
11,1076110.00,CH 1076+110,110.00,43N,739354.863,3320592.833,29.99292246,77.48113979
12,1076120.00,CH 1076+120,120.00,43N,739346.244,3320597.904,29.99296987,77.48105165
13,1076130.00,CH 1076+130,130.00,43N,739337.625,3320602.974,29.99301727,77.48096351
14,1076140.00,CH 1076+140,140.00,43N,739329.006,3320608.045,29.99306467,77.48087537
15,1076150.00,CH 1076+150,150.00,43N,739320.387,3320613.116,29.99311207,77.48078724
16,1076160.00,CH 1076+160,160.00,43N,739311.768,3320618.186,29.99315947,77.48069910
17,1076170.00,CH 1076+170,170.00,43N,739303.149,3320623.257,29.99320687,77.48061096
18,1076180.00,CH 1076+180,180.00,43N,739294.530,3320628.328,29.99325427,77.48052282
19,1076190.00,CH 1076+190,190.00,43N,739285.911,3320633.398,29.99330167,77.48043469
20,1076200.00,CH 1076+200,200.00,43N,739277.291,3320638.469,29.99334907,77.48034655
21,1076210.00,CH 1076+210,210.00,43N,739268.604,3320643.422,29.99339542,77.48025768
22,1076220.00,CH 1076+220,220.00,43N,739259.916,3320648.372,29.99344175,77.48016879
23,1076230.00,CH 1076+230,230.00,43N,739251.227,3320653.323,29.99348808,77.48007991
