"Pole Name","Pole ID","Map KM (approx)","DataID","Latitude","Longitude","Alt"
"OHE 1167/05","1167/05","1167.2291","1659","30.42188","76.694544","226.2"
"OHE 1167/06","1167/06","1167.2849","1658","30.422171400000003","76.69407070000001","225.801"
"OHE 1167/07","1167/07","1167.3470","1657","30.422505300000005","76.6935516","226.101"
"OHE 1167/08","1167/08","1167.4037","1656","30.422789200000004","76.6930611","227.5"
"OHE 1167/09","1167/09","1167.4617","1655","30.4231062","76.6925799","226.7"
"OHE 1167/10","1167/10","1167.5197","1654","30.4234137","76.6920913","225.7"
"OHE 1167/11","1167/11","1167.5702","1653","30.423620400000004","76.6916161","223.7"
"OHE 1167/12","1167/12","1167.6309","1652","30.4239926","76.6911458","226.101"
"OHE 1167/13","1167/13","1167.6876","1651","30.424294900000003","76.6906696","227.2"
"OHE 1167/14","1167/14","1167.7379","1650","30.424542499999998","76.6902299","225.9"
"OHE 1167/15","1167/15","1167.7734","1649","30.4247294","76.6899298","227.4"
"OHE 1167/16","1167/16","1167.8330","1648","30.425033299999996","76.6894167","224.301"
"OHE 1167/17","1167/17","1167.8754","1647","30.425236900000005","76.68904390000002","225.601"
"OHE 1167/18","1167/18","1167.9226","1646","30.4254744","76.6886341","227.601"
"OHE 1167/19","1167/19","1167.9656","1645","30.4256784","76.6882526","227.4"
"OHE 1168/01","1168/01","1168.0243","1644","30.425956200000005","76.687734","226.702"
"OHE 1168/02","1168/02","1168.0841","1643","30.426253499999998","76.6872144","226.801"
"OHE 1168/03","1168/03","1168.1289","1642","30.4264729","76.6868224","225.801"
"OHE 1168/04","1168/04","1168.1688","1641","30.4266986","76.6864979","226.4"
"OHE 1168/05","1168/05","1168.2249","1640","30.426964800000004","76.6859994","225.301"
"OHE 1168/06","1168/06","1168.2801","1639","30.4272707","76.6855451","226.301"
"OHE 1168/07","1168/07","1168.3241","1638","30.4275004","76.6851729","225.702"
"OHE 1168/08","1168/08","1168.3690","1637","30.427770099999996","76.6848208","224.5"
"OHE 1168/09","1168/09","1168.4289","1636","30.4280752","76.6843061","223.801"
"OHE 1168/10","1168/10","1168.4869","1635","30.4283847","76.6838194","225.801"
"OHE 1168/11","1168/11","1168.5453","1634","30.428702799999996","76.683334","227.4"
"OHE 1168/12","1168/12","1168.5996","1633","30.4289934","76.6828794","229.202"
"OHE 1168/13","1168/13","1168.6603","1632","30.4293087","76.6823628","223.9"
"OHE 1168/14","1168/14","1168.7036","1631","30.4295589","76.6820166","226.101"
"OHE 1168/15","1168/15","1168.7390","1630","30.429738400000005","76.681711","226"
"OHE 1168/16","1168/16","1168.7798","1629","30.429937499999998","76.6813531","223.5"
"OHE 1168/17","1168/17","1168.8312","1628","30.4302262","76.6809343","224.801"
"OHE 1168/18","1168/18","1168.8899","1627","30.4305264","76.6804302","226.101"
"OHE 1168/19","1168/19","1168.9445","1626","30.4308742","76.6800201","224.801"
"OHE 1169/01","1169/01","1169.0022","1625","30.431177699999996","76.6795334","226.5"
"OHE 1169/02","1169/02","1169.0648","1624","30.4315067","76.6790035","230"
"OHE 1169/03","1169/03","1169.1102","1623","30.4317613","76.6786333","231.801"
"OHE 1169/04","1169/04","1169.1554","1622","30.4320109","76.6782613","231.202"
"OHE 1169/05","1169/05","1169.2017","1621","30.432271","76.6778821","227.5"
"OHE 1169/06","1169/06","1169.2370","1620","30.432453699999996","76.6775828","229.5"
"OHE 1169/07","1169/07","1169.2764","1619","30.4326769","76.6772632","228.5"
"OHE 1169/08","1169/08","1169.3177","1618","30.432885899999995","76.6769056","229.702"
"OHE 1169/09","1169/09","1169.3773","1617","30.433177100000005","76.6763831","225.9"
"OHE 1169/10","1169/10","1169.4346","1616","30.43348","76.6758999","225"
"OHE 1169/11","1169/11","1169.4753","1615","30.4337375","76.6755913","229"
"OHE 1169/12","1169/12","1169.5144","1614","30.4339321","76.6752523","226.4"
"OHE 1169/13","1169/13","1169.5738","1613","30.434241400000005","76.6747462","228.101"
"OHE 1169/14","1169/14","1169.6204","1612","30.4344999","76.6743623","227.4"
"OHE 1169/15","1169/15","1169.6755","1611","30.4347945","76.6739032","225.4"
"OHE 1169/16","1169/16","1169.7313","1610","30.4351051","76.6734443","231.5"
"OHE 1169/17","1169/17","1169.7946","1609","30.4354258","76.6728985","228.801"
"OHE 1169/18","1169/18","1169.8386","1608","30.435671899999996","76.6725377","230.801"
"OHE 1169/19","1169/19","1169.8983","1607","30.435984300000005","76.6720312","233.601"
"OHE 1169/20","1169/20","1169.9507","1606","30.4362668","76.6715945","231.702"
"OHE 1170/01","1170/01","1170.0098","1605","30.4365808","76.6710979","230.101"
"OHE 1170/02","1170/02","1170.0642","1604","30.436849900000002","76.6706222","229.9"
"OHE 1170/03","1170/03","1170.1239","1603","30.437197099999995","76.6701471","229.101"
"OHE 1170/04","1170/04","1170.1752","1602","30.437451500000005","76.6697008","233.301"
"OHE 1170/05","1170/05","1170.2215","1601","30.4376989","76.6693117","231.9"
"OHE 1170/06","1170/06","1170.2648","1600","30.437902","76.6689226","230.702"
"OHE 1170/07","1170/07","1170.3247","1599","30.4382296","76.668428","225.202"
"OHE 1170/08","1170/08","1170.3771","1598","30.4385075","76.6679859","228.202"
"OHE 1170/09","1170/09","1170.4181","1597","30.4387201","76.66763569999999","231.9"
"OHE 1170/10","1170/10","1170.4533","1596","30.4389183","76.6673493","227.301"
"OHE 1170/11","1170/11","1170.4818","1595","30.4390252","76.6670726","229.601"
"OHE 1170/12","1170/12","1170.5197","1594","30.439252699999997","76.6667752","230.202"
"OHE 1170/13","1170/13","1170.5650","1593","30.439485799999996","76.6663878","222"
"OHE 1170/14","1170/14","1170.6043","1592","30.4397049","76.6660656","222.5"
"OHE 1170/15","1170/15","1170.6334","1591","30.439820699999995","76.6657883","224"
"OHE 1170/16","1170/16","1170.6704","1590","30.4400272","76.6654852","222.5"
"OHE 1170/17","1170/17","1170.7054","1589","30.440227600000004","76.6652027","222.101"
"OHE 1170/18","1170/18","1170.7488","1588","30.440466099999995","76.6648449","225.601"
"OHE 1170/19","1170/19","1170.7847","1587","30.4406601","76.6645459","227.5"
"OHE 1170/20","1170/20","1170.8311","1586","30.4409126","76.6641596","222.9"
"OHE 1170/21","1170/21","1170.8831","1585","30.4411982","76.6637297","226.202"
"OHE 1170/22","1170/22","1170.9404","1584","30.441495900000003","76.6632425","225.702"
"OHE 1170/23","1170/23","1170.9934","1583","30.4417903","76.6628064","226.9"
"OHE 1171/02","1171/02","1171.1041","1581","30.442348100000004","76.6618498","228.301"
"OHE 1171/03","1171/03","1171.1621","1580","30.4426642","76.6613689","224.702"
"OHE 1171/04","1171/04","1171.2244","1579","30.443018999999996","76.6608647","227.301"
"OHE 1171/05","1171/05","1171.2853","1578","30.443307100000002","76.6603216","222.4"
"OHE 1171/06","1171/06","1171.3392","1577","30.443606299999995","76.6598794","225.202"
"OHE 1171/07","1171/07","1171.4000","1576","30.4439047","76.6593481","225.9"
"OHE 1171/08","1171/08","1171.4460","1575","30.4441743","76.6589816","228.801"
"OHE 1171/09","1171/09","1171.4884","1574","30.4443772","76.6586061","228.4"
"OHE 1171/10","1171/10","1171.5235","1573","30.444558500000003","76.6583063","237.801"
"OHE 1171/11","1171/11","1171.5608","1572","30.4448042","76.6580324","236.301"
"OHE 1171/12","1171/12","1171.6010","1571","30.444998000000002","76.6576771","236.702"
"OHE 1171/13","1171/13","1171.6407","1570","30.445211299999997","76.6573451","238"
"OHE 1171/14","1171/14","1171.6955","1569","30.44551","76.6568904","235.801"
"OHE 1171/15","1171/15","1171.7438","1568","30.445782099999995","76.6564973","236.4"
"OHE 1171/16","1171/16","1171.7878","1567","30.4459933","76.6561085","238.9"
"OHE 1171/17","1171/17","1171.8319","1566","30.446228200000004","76.6557373","239.202"
"OHE 1171/18","1171/18","1171.8818","1565","30.446503599999996","76.6553259","235.601"
"OHE 1171/19","1171/19","1171.9146","1564","30.446664600000002","76.6550388","236"
"OHE 1171/20","1171/20","1171.9663","1563","30.446952699999997","76.6546153","238"
"OHE 1172/01","1172/01","1172.0225","1562","30.447227399999996","76.6541229","229.301"
"OHE 1172/02","1172/02","1172.0858","1561","30.4475583","76.6535856","229.4"
"OHE 1172/03","1172/03","1172.1402","1560","30.447867400000003","76.6531459","230.601"
"OHE 1172/04","1172/04","1172.1965","1559","30.448161599999995","76.6526656","227.301"
"OHE 1172/05","1172/05","1172.2553","1558","30.448485899999998","76.6521833","225.601"
"OHE 1172/06","1172/06","1172.3085","1557","30.4487431","76.6517133","228.5"
"OHE 1172/07","1172/07","1172.3666","1556","30.4490602","76.65123049999998","224.702"
"OHE 1172/08","1172/08","1172.4181","1555","30.449318500000004","76.6507837","226.601"
"OHE 1172/09","1172/09","1172.4729","1554","30.449605299999998","76.6503187","226.202"
"OHE 1172/10","1172/10","1172.5260","1553","30.4498909","76.6498749","226.202"
"OHE 1172/11","1172/11","1172.5731","1552","30.4501395","76.6494768","227.301"
"OHE 1172/12","1172/12","1172.6291","1551","30.450436799999995","76.6490056","226.5"
"OHE 1172/13","1172/13","1172.6834","1550","30.4507157","76.648541","225.5"
"OHE 1172/14","1172/14","1172.7316","1549","30.450973599999998","76.6481365","226.601"
"OHE 1172/15","1172/15","1172.7618","1548","30.451118800000003","76.6478697","226.702"
"OHE 1172/16","1172/16","1172.8243","1547","30.4514735","76.6473629","223.601"
"OHE 1172/17","1172/17","1172.8641","1546","30.4516675","76.6470142","224.601"
"OHE 1172/18","1172/18","1172.9110","1545","30.4519281","76.6466287","224.101"
"OHE 1172/19","1172/19","1172.9646","1544","30.4522058","76.646171","224.4"
"OHE 1173/01","1173/01","1173.0194","1543","30.4525029","76.6457148","225.301"
"OHE 1173/02","1173/02","1173.0730","1542","30.4527946","76.6452704","223.202"
"OHE 1173/03","1173/03","1173.1270","1541","30.4530698","76.6448063","222.5"
"OHE 1173/04","1173/04","1173.1778","1540","30.453334400000003","76.6443742","222.301"
"OHE 1173/05","1173/05","1173.2333","1539","30.4536339","76.6439111","224.801"
"OHE 1173/06","1173/06","1173.2893","1538","30.453915199999997","76.6434259","222.702"
"OHE 1173/07","1173/07","1173.3425","1537","30.4541934","76.6429741","220.5"
"OHE 1173/08","1173/08","1173.4008","1536","30.4545066","76.6424861","223"
"OHE 1173/09","1173/09","1173.4585","1535","30.4548113","76.6419999","221"
"OHE 1173/10","1173/10","1173.5150","1534","30.455096900000004","76.641512","222.601"
"OHE 1173/11","1173/11","1173.5714","1533","30.455391500000005","76.6410334","219.101"
"OHE 1173/12","1173/12","1173.6302","1532","30.4557107","76.6405432","220.2"
"OHE 1173/13","1173/13","1173.6907","1531","30.456025500000003","76.640029","221"
"OHE 1173/14","1173/14","1173.7481","1530","30.456331700000003","76.6395467","219.601"
"OHE 1173/15","1173/15","1173.8033","1529","30.456593899999998","76.6390565","222.4"
"OHE 1173/16","1173/16","1173.8561","1528","30.456890100000003","76.638625","220.2"
"OHE 1173/17","1173/17","1173.9107","1527","30.4572157","76.6381958","222"
"OHE 1173/18","1173/18","1173.9703","1526","30.457491600000004","76.6376604","220.7"
"OHE 1174/10","1174/10","1174.0292","1525","30.457786699999996","76.6371492","220.9"
"OHE 1174/02","1174/02","1174.0903","1524","30.458119000000003","76.63664249999998","223.202"
"OHE 1174/03","1174/03","1174.1472","1523","30.458407899999997","76.6361511","221.9"
"OHE 1174/04","1174/04","1174.1976","1522","30.4586724","76.6357242","220.801"
"OHE 1174/05","1174/05","1174.2539","1521","30.458981699999995","76.6352592","221.702"
"OHE 1174/06","1174/06","1174.3153","1520","30.459300100000004","76.6347358","223.202"
"OHE 1174/07","1174/07","1174.3736","1519","30.459596499999996","76.6342325","222"
"OHE 1174/08","1174/08","1174.4294","1518","30.4599182","76.6337847","225.301"
"OHE 1174/09","1174/09","1174.4896","1517","30.460224100000005","76.6332653","227.301"
"OHE 1174/10","1174/10","1174.5474","1516","30.460518900000004","76.6327683","228"
"OHE 1174/11","1174/11","1174.5997","1515","30.460796300000002","76.6323277","224.702"
"OHE 1174/12","1174/12","1174.6561","1514","30.4610948","76.6318525","228.101"
"OHE 1174/13","1174/13","1174.7129","1513","30.4613834","76.6313641","230.4"
"OHE 1174/14","1174/14","1174.7672","1512","30.461695899999995","76.6309266","230.5"
"OHE 1174/15","1174/15","1174.8160","1511","30.4619334","76.630498","230.9"
"OHE 1174/16","1174/16","1174.8550","1510","30.462138400000004","76.6301675","228.702"
"OHE 1174/17","1174/17","1174.9022","1509","30.462370899999996","76.6297561","232"
"OHE 1174/18","1174/18","1174.9370","1508","30.4625628","76.6294647","228.601"
"OHE 1174/19","1174/19","1174.9755","1507","30.4627471","76.629119","229.5"
"OHE 1175/01","1175/01","1175.0200","1506","30.462959500000004","76.6287212","229.702"
"OHE 1175/02","1175/02","1175.0697","1505","30.4631278","76.6282358","231.601"
"OHE 1175/03","1175/03","1175.1108","1504","30.463283","76.6278393","227.5"
"OHE 1175/04","1175/04","1175.1508","1503","30.4633989","76.6274458","228"
"OHE 1175/05","1175/05","1175.1903","1502","30.463525100000002","76.6270739","229.5"
"OHE 1175/06","1175/06","1175.2375","1501","30.4636851","76.6266523","229.5"
"OHE 1175/07","1175/07","1175.2851","1500","30.463836399999998","76.6262298","231.601"
"OHE 1175/08","1175/08","1175.3297","1499","30.4640059","76.625834","232.301"
"OHE 1175/09","1175/09","1175.3761","1498","30.4641716","76.6253935","234"
"OHE 1175/10","1175/10","1175.4233","1497","30.4644107","76.6249909","236.4"
"OHE 1175/11","1175/11","1175.4664","1496","30.464613999999997","76.6245964","229.9"
"OHE 1175/12","1175/12","1175.5079","1495","30.464852600000004","76.6242511","230.601"
"OHE 1175/13","1175/13","1175.5410","1494","30.465061100000003","76.6239883","231.202"
"OHE 1175/14","1175/14","1175.5800","1493","30.4653192","76.6236947","231.5"
"OHE 1175/15","1175/15","1175.6241","1492","30.465627299999998","76.6233814","235.5"
"OHE 1175/16","1175/16","1175.6676","1491","30.4659575","76.6231091","231.702"
"OHE 1175/17","1175/17","1175.7138","1490","30.466287299999998","76.6227936","233.101"
"OHE 1175/18","1175/18","1175.7538","1489","30.4666178","76.6225942","232.301"
